L2	L1	refSeqOverlapping_signal	ensemblOverlapping_signal	exonOverlapping_signal	intronOverlapping_signal	nonOverlapping_signal
1	AATAAA	0-0.12	13435986	2408214	1444	203237	8430325
2	ATTAAA	0-0.12	2675733	561580	123	20038	687042
3	APA	0-0.12	1415567	427233	64000	23819	761599
4	noPAS	0-0.12	679087	139283	39369	86862	765611
5	AATAAA	0.12-0.24	19808084	3878717	3367	558104	8641244
6	ATTAAA	0.12-0.24	3877871	958850	19791	68344	1041996
7	APA	0.12-0.24	1727809	579047	107322	129042	8877174
8	noPAS	0.12-0.24	1202406	352185	298525	204614	5512818
9	AATAAA	0.24-0.36	13106260	3626423	24658	340340	5267573
10	ATTAAA	0.24-0.36	2260177	674770	31825	138489	1379201
11	APA	0.24-0.36	2111539	698324	468554	208176	2355710
12	noPAS	0.24-0.36	1869229	579393	1790536	502092	113248156
13	AATAAA	0.36-0.48	2044010	518855	146703	138014	1471436
14	ATTAAA	0.36-0.48	507245	114642	75505	36014	380040
15	APA	0.36-0.48	957547	349977	1246170	164663	3854872
16	noPAS	0.36-0.48	1344568	585794	3167176	412068	11043726
17	AATAAA	0.48-0.60	912939	172468	306787	136567	985938
18	ATTAAA	0.48-0.60	174463	48880	73430	40884	276276
19	APA	0.48-0.60	973366	342029	2028022	258418	4050431
20	noPAS	0.48-0.60	1638681	656760	5113325	632402	6520806
21	AATAAA	0.60-0.72	263005	185890	140622	308539	1753381
22	ATTAAA	0.60-0.72	244744	92309	101307	66613	477940
23	APA	0.60-0.72	1905171	726611	1801397	617476	7263036
24	noPAS	0.60-0.72	2604550	1167309	4586742	1166115	8831542
25	AATAAA	0.72-0.84	85958	37979	12078	129556	491287
26	ATTAAA	0.72-0.84	59268	16397	3745	39785	308122
27	APA	0.72-0.84	504883	292023	143197	295736	1474639
28	noPAS	0.72-0.84	858489	459842	385953	591320	2926648
29	AATAAA	0.84-1.00	11923	5746	128	40929	185764
30	ATTAAA	0.84-1.00	20835	8408	0	21006	58274
31	APA	0.84-1.00	99959	89994	2436	151192	544659
32	noPAS	0.84-1.00	207820	150238	11081	368852	1673470
